rate,Top,Name,sales amount,year,Comedy,Ejtemaei,Drama,Hostory,Romance,Siasi,DefaMoghadas,Animation,Horror,Action,Suspense,Advanture
1,1,Hezar Pa,38063848000,1397,1,1,0,0,0,0,0,0,0,0,0,0
2,2,Motreb,34437589000,1398,1,1,0,0,0,0,0,0,0,0,0,0
3,2,Metri 6.5,27704123000,1398,0,1,0,0,0,0,0,0,0,0,0,0
4,3,Tegzas 2,25074861000,1398,1,0,0,0,0,0,0,0,0,0,0,0
5,2,Rahman 1400,22542218000,1398,1,1,0,0,0,0,0,0,0,0,0,0
6,1,Nahang Anbar 2,20991898500,1396,1,1,0,0,0,0,0,0,0,0,0,0
7,2,Ayne Baghal,20497295000,1396,0,1,0,0,0,0,0,0,0,0,0,0
8,1,Gasht Ershad 2,19785296800,1396,1,1,0,0,0,0,0,0,0,0,0,0
9,8,Shabi K Mah Kamel Shod,19012982000,1398,0,1,0,0,0,0,0,0,0,0,0,0
10,1,Man Salvador Nistam,16951717100,1395,1,1,0,0,0,0,0,0,0,0,0,0
11,2,"Khoob, Bad, Jelf",16326915600,1396,1,0,0,0,0,0,0,0,0,0,0,0
12,2,Foroshande,15714919600,1395,0,1,1,0,0,0,0,0,0,0,0,0
13,7,Mosadere,15687183900,1397,1,0,0,0,0,0,0,0,0,0,0,0
14,13,Sorkh Poost,14979456000,1398,0,1,0,0,0,0,0,0,0,0,0,0
15,8,Latari,14814670700,1397,0,1,0,0,0,0,0,0,0,0,0,0
16,1,Mohammad Rasolollah,14663478300,1394,0,1,0,1,0,0,0,0,0,0,0,0
17,10,Tegzas,14439148100,1397,1,0,0,0,0,0,0,0,0,0,0,0
18,3,50k Albaloo,13824209000,1395,1,0,0,0,0,0,0,0,0,0,0,0
19,5,Salam Bambaei,13726977200,1395,0,1,1,0,1,0,0,0,0,0,0,0
20,12,Be Vaghte Sham,13099910400,1397,0,1,0,0,0,1,0,0,0,0,0,0
21,15,Maghz Haye Koochale Zangzade,12766188400,1397,0,1,0,0,0,0,0,0,0,0,0,0
22,4,Abad o Yek Rooz,11729763100,1395,0,1,0,0,0,0,0,0,0,0,0,0
23,5,Barcode,11187379900,1395,1,1,0,0,0,0,0,0,0,0,0,0
24,24,Cheshm o Goosh Baste,10934439000,1398,1,0,0,0,0,0,0,0,0,0,0,0
25,12,Oksidan,10833802200,1396,1,1,0,0,0,0,0,0,0,0,0,0
26,24,4 Angosht,10694791000,1398,1,0,0,0,0,0,0,0,0,0,0,0
27,25,Ma Hame ba ham hastim,10662141000,1398,1,0,0,0,0,0,0,0,0,0,0,0
28,1,Shahre Moosh Ha 2,9821530400,1393,,,,,,,,,,,,
29,19,Ghanoone Morphi,9656543000,1397,1,0,0,0,0,0,0,0,0,0,0,0
30,17,Loone Zanboor,9156452300,1397,1,0,0,0,0,0,0,0,0,0,0,0
31,14,Saat 5 Asr,9127122000,1396,0,1,0,0,0,0,0,0,0,0,0,0
32,1,Ekhraji Ha 2,7928311700,1388,0,0,0,0,0,0,1,0,0,0,0,0
33,20,Filshah,7922493600,1397,0,0,0,0,0,0,0,1,0,0,0,0
34,24,Los Angles Tehran,7177780000,1397,1,0,0,0,0,0,0,0,0,0,0,0
35,3,Nahang Anbar ,7082847000,1394,1,1,0,0,0,0,0,0,0,0,0,0
36,8,Badigard,6943630700,1395,0,1,0,0,0,0,0,0,0,0,0,0
37,27,Bomb Yek Asheghane,6842201300,1397,0,1,0,0,0,0,1,0,0,0,0,0
38,18,Khaltoor,6699721200,1396,1,1,0,0,0,0,0,0,0,0,0,0
39,34,Samooraei Dar Berlin,6622270000,1398,1,0,0,0,0,0,0,0,0,0,0,0
40,29,Marmooz,6553978200,1397,1,0,0,0,0,0,0,0,0,0,0,0
41,38,Xlarge,6320838000,1398,1,0,0,0,0,0,0,0,0,0,0,0
42,10,Lantori,6296902400,1395,0,1,0,0,0,0,0,0,0,0,0,0
43,43,Majaraye Nimrooz; Rade Khoon,6233088000,1398,0,1,0,0,0,0,0,0,0,0,0,0
44,38,Zahre Mar ,6162718000,1398,1,0,0,0,0,0,0,0,0,0,0,0
45,27,Tange Aboghorayb,5653531500,1397,0,0,0,0,0,0,1,0,0,0,0,0
46,46,Hezartoo,5498460000,1398,,,,,,,,,,,,
47,47,Zire Nazar,5400392000,1398,1,0,0,0,0,0,0,0,0,0,0,0
48,47,Mantaghe Parvaz Mamnoo,5344899000,1398,,,,,,,,,,,,
49,31,Kolomboos,5007775000,1397,1,1,0,0,0,0,0,0,0,0,0,0
50,17,Rage Khab,4930116200,1396,0,1,0,0,0,0,0,0,0,0,0,0
